Jurisdiction,HHS Region,Doses allocated week of 12/21,Second Dose Shipment (28 days later) week of 12/21,Doses allocated week of 12/28,Second Dose Shipment (28 days later) week of 12/28,Doses allocated for distribution week of 01/04,Second dose shipment for distribution (28 days later) week of 01/04,Doses allocated for distribution week of 01/10,Second dose shipment for distribution (28 days later) week of 01/10,Doses allocated for distribution week of 01/18,Second dose shipment for distribution (28 days later) week of 01/18,Doses allocated for distribution week of 01/25,Second dose shipment for distribution (28 days later) week of 01/25,Doses allocated for distribution week of 02/01,Second dose shipment for distribution (28 days later) week of 02/01,Doses allocated for distribution week of 02/08,Second dose shipment for distribution (28 days later) week of 02/08,Doses allocated for distribution week of 02/15,Second dose shipment for distribution (28 days later) week of 02/15,Doses allocated for distribution week of 02/22,Second dose shipment for distribution (28 days later) week of 02/22,"Total Moderna Allocation ""First Dose"" Shipments","Total Allocation Moderna""Second Dose"" Shipments"
Louisiana,Region 6,"79,500","79,500","27,500","27,500","27,400","27,400","27,500","27,500","28,900","28,900","28,900","28,900","38,100","38,100","41,600","41,600","45,000","45,000","45,000","45,000","389,400","389,400"
New Mexico***,Region 6,"36,100","36,100","12,500","12,500","12,500","12,500","12,500","12,500","13,200","13,200","13,200","13,200","17,300","17,300","19,000","19,000","20,500","20,500","20,500","20,500","177,300","177,300"
Oklahoma,Region 6,"66,200","66,200","22,900","22,900","22,800","22,800","22,900","22,900","24,100","24,100","24,100","24,100","31,700","31,700","34,700","34,700","37,500","37,500","37,500","37,500","324,400","324,400"
Texas,Region 6,"460,500","460,500","159,100","159,100","158,500","158,500","159,100","159,100","167,100","167,100","167,100","167,100","220,500","220,500","241,000","241,000","260,400","260,400","260,400","260,400","2,253,700","2,253,700"
San Antonio ~,Region 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Houston ~,Region 6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Iowa,Region 7,"53,800","53,800","18,600","18,600","18,500","18,500","18,600","18,600","19,500","19,500","19,500","19,500","25,800","25,800","28,200","28,200","30,400","30,400","30,400","30,400","263,300","263,300"
Kansas,Region 7,"49,100","49,100","17,000","17,000","16,900","16,900","17,000","17,000","17,800","17,800","17,800","17,800","23,500","23,500","25,700","25,700","27,800","27,800","27,800","27,800","240,400","240,400"
Missouri,Region 7,"105,300","105,300","36,400","36,400","36,200","36,200","36,400","36,400","38,200","38,200","38,200","38,200","50,400","50,400","55,100","55,100","59,500","59,500","59,500","59,500","515,200","515,200"
Nebraska***,Region 7,"32,400","32,400","11,200","11,200","11,200","11,200","11,200","11,200","11,800","11,800","11,800","11,800","15,500","15,500","17,000","17,000","18,400","18,400","18,400","18,400","158,900","158,900"
Colorado,Region 8,"95,600","95,600","33,000","33,000","32,900","32,900","33,000","33,000","34,700","34,700","34,700","34,700","45,800","45,800","50,000","50,000","54,100","54,100","54,100","54,100","467,900","467,900"
Montana,Region 8,"18,300","18,300","6,400","6,400","6,300","6,300","6,400","6,400","6,700","6,700","6,700","6,700","8,800","8,800","9,600","9,600","10,400","10,400","10,400","10,400","90,000","90,000"
North Dakota***,Region 8,"13,200","13,200","4,600","4,600","4,600","4,600","4,600","4,600","4,800","4,800","4,800","4,800","6,400","6,400","6,900","6,900","7,500","7,500","7,500","7,500","64,900","64,900"
South Dakota,Region 8,"14,600","14,600","5,100","5,100","5,100","5,100","5,100","5,100","5,300","5,300","5,300","5,300","7,000","7,000","7,700","7,700","8,300","8,300","8,300","8,300","71,800","71,800"
Utah***,Region 8,"47,800","47,800","16,600","16,600","16,500","16,500","16,600","16,600","17,400","17,400","17,400","17,400","22,900","22,900","25,100","25,100","27,100","27,100","27,100","27,100","234,500","234,500"
Wyoming,Region 8,"10,000","10,000","3,500","3,500","3,500","3,500","3,500","3,500","3,700","3,700","3,700","3,700","4,800","4,800","5,300","5,300","5,700","5,700","5,700","5,700","49,400","49,400"
Arizona***,Region 9,"119,400","119,400","41,300","41,300","41,100","41,100","41,300","41,300","43,400","43,400","43,400","43,400","57,200","57,200","62,500","62,500","67,600","67,600","67,600","67,600","584,800","584,800"
California,Region 9,"672,600","672,600","232,300","232,300","231,400","231,400","232,300","232,300","244,000","244,000","244,000","244,000","322,000","322,000","351,900","351,900","380,300","380,300","380,300","380,300","3,291,100","3,291,100"
Hawaii,Region 9,"25,000","25,000","8,700","8,700","8,600","8,600","8,700","8,700","9,100","9,100","9,100","9,100","12,000","12,000","13,100","13,100","14,200","14,200","14,200","14,200","122,700","122,700"
Nevada,Region 9,"50,300","50,300","17,400","17,400","17,300","17,300","17,400","17,400","18,300","18,300","18,300","18,300","24,100","24,100","26,400","26,400","28,500","28,500","28,500","28,500","246,500","246,500"
American Samoa**,Region 9,"2,400",N/A,N/A,N/A,"2,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8,000",0
Guam**,Region 9,"7,600",N/A,N/A,N/A,"7,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"9,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"24,000",0
Marshall Islands*,Region 9,"7,200",N/A,N/A,N/A,"6,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,600",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"20,200",0
Micronesia*,Region 9,"9,800",N/A,N/A,N/A,"9,600",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"9,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"28,800",0
Mariana Islands**,Region 9,"2,600",N/A,N/A,N/A,"2,400",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8,200",0
Palau*,Region 9,"2,800",N/A,N/A,N/A,"3,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,800",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8,800",0
Alaska***,Region 10,"26,800","26,800",N/A,N/A,"25,600","25,600",N/A,N/A,N/A,N/A,N/A,N/A,"32,300","32,300",N/A,N/A,N/A,N/A,N/A,N/A,"84,700","84,700"
Idaho,Region 10,"28,000","28,000","9,700","9,700","9,700","9,700","9,700","9,700","10,200","10,200","10,200","10,200","13,400","13,400","14,700","14,700","15,800","15,800","15,800","15,800","137,200","137,200"
Oregon***,Region 10,"72,100","72,100","25,000","25,000","24,800","24,800","25,000","25,000","26,200","26,200","26,200","26,200","34,600","34,600","37,800","37,800","40,800","40,800","40,800","40,800","353,300","353,300"
Washington***,Region 10,"128,000","128,000","44,300","44,300","44,100","44,100","44,300","44,300","46,500","46,500","46,500","46,500","61,300","61,300","67,000","67,000","72,400","72,400","72,400","72,400","626,800","626,800"
Federal Entities ****,N/A,"298,200","289,200","100,000","100,000","108,400","99,600","99,900","99,900","105,000","105,000","105,000","105,000","149,400","138,600","481,400","481,400","165,500","165,500","163,500","163,500","1,776,300","1,747,700"
Total,,"5,990,000","5,948,600","2,047,300","2,047,300","2,104,400","2,064,400","2,047,200","2,047,200","2,150,000","2,150,000","2,150,000","2,150,000","2,913,400","2,868,200","3,430,000","3,430,000","3,352,000","3,352,000","3,350,000","3,350,000",,
